scope,method,records,support_predictions,false_support_predictions,auroc,average_precision,reviewed_count,captured_false_support,reviewed_true_support,detection_precision,detection_recall,selective_risk
full600,learned,600,133,45,0.6332070707070707,0.4913390004117973,32,15,17,0.46875,0.3333333333333333,0.4119718309859155
full600,self_reported_confidence,600,133,45,0.6159090909090909,0.42229585262591507,32,13,19,0.40625,0.28888888888888886,0.4154929577464789
without_largest_component,learned,506,100,38,0.5855263157894737,0.5002642237099761,25,12,13,0.48,0.3157894736842105,0.4054054054054054
without_largest_component,self_reported_confidence,506,100,38,0.6150254668930389,0.4725439772037975,25,12,13,0.48,0.3157894736842105,0.4054054054054054
