method,budget,reviewer_sensitivity,review_cost_ratio_lambda,observed_normalized_idealized_net_gain,bootstrap_mean,ci_low,ci_high,iterations,resampling_unit,models_retrained_within_bootstrap
oracle,0.05,0.6,0.01,0.031466666666666664,0.028927045811957708,0.022672268907563024,0.032462332818596285,5000,claim_source_component,False
oracle,0.05,0.6,0.05,0.02933333333333333,0.026826517357612788,0.02064472732532909,0.030254065434975348,5000,claim_source_component,False
oracle,0.05,0.6,0.1,0.02666666666666667,0.024200856789681636,0.018064486093590435,0.02750369584997759,5000,claim_source_component,False
oracle,0.05,0.6,0.2,0.021333333333333333,0.018949535653819332,0.012974125979505724,0.022000070521861776,5000,claim_source_component,False
oracle,0.05,0.6,0.5,0.005333333333333332,0.003195572246232421,-0.0023232878945330807,0.005500017630465446,5000,claim_source_component,False
oracle,0.05,0.8,0.01,0.042133333333333335,0.038744438453805694,0.03040419651164508,0.0434665134350696,5000,claim_source_component,False
oracle,0.05,0.8,0.05,0.04,0.036643909999460766,0.028386653963823737,0.04125554377496639,5000,claim_source_component,False
oracle,0.05,0.8,0.1,0.037333333333333336,0.034018249431529625,0.025805868635833663,0.038505174189968634,5000,claim_source_component,False
oracle,0.05,0.8,0.2,0.03200000000000001,0.02876692829566732,0.020674130293863443,0.033000105782792666,5000,claim_source_component,False
oracle,0.05,0.8,0.5,0.016000000000000004,0.013012964888080404,0.005362336914137976,0.016500052891396336,5000,claim_source_component,False
oracle,0.05,1.0,0.01,0.0528,0.048561831095653665,0.038137016880565935,0.054470694051542916,5000,claim_source_component,False
oracle,0.05,1.0,0.05,0.050666666666666665,0.046461302641308745,0.03608552631578947,0.052269857928248245,5000,claim_source_component,False
oracle,0.05,1.0,0.1,0.048,0.0438356420733776,0.0335470268169452,0.049506652529959665,5000,claim_source_component,False
oracle,0.05,1.0,0.2,0.04266666666666667,0.03858432093751529,0.028386553970223327,0.04400014104372355,5000,claim_source_component,False
oracle,0.05,1.0,0.5,0.02666666666666667,0.022830357529928385,0.013051424447791164,0.02750008815232722,5000,claim_source_component,False
oracle,0.1,0.6,0.01,0.04295,0.0401260678317901,0.027932306034482754,0.05074475624940139,5000,claim_source_component,False
oracle,0.1,0.6,0.05,0.03875,0.036142871470816205,0.0240946582200694,0.04674879601944628,5000,claim_source_component,False
oracle,0.1,0.6,0.1,0.033499999999999995,0.031163876019598837,0.019156064883719053,0.04177944516793361,5000,claim_source_component,False
oracle,0.1,0.6,0.2,0.022999999999999996,0.021205885117164088,0.009492178170527821,0.031767595573748274,5000,claim_source_component,False
oracle,0.1,0.6,0.5,-0.008500000000000002,-0.008668087590140146,-0.02024084287555281,0.0029157415574277163,5000,claim_source_component,False
oracle,0.1,0.8,0.01,0.05761666666666667,0.053833356805801306,0.03757180537135278,0.06800343426327528,5000,claim_source_component,False
oracle,0.1,0.8,0.05,0.053416666666666675,0.04985016044482741,0.03373700520932355,0.06396416187716716,5000,claim_source_component,False
oracle,0.1,0.8,0.1,0.04816666666666667,0.04487116499361003,0.028890982229237742,0.05898562505445924,5000,claim_source_component,False
oracle,0.1,0.8,0.2,0.03766666666666667,0.03491317409117529,0.019176955996478083,0.048927369404682154,5000,claim_source_component,False
oracle,0.1,0.8,0.5,0.006166666666666671,0.005039201383871052,-0.010420800578295832,0.019623878750386632,5000,claim_source_component,False
oracle,0.1,1.0,0.01,0.07228333333333332,0.06754064577981249,0.047225983090185684,0.08525621975636341,5000,claim_source_component,False
oracle,0.1,1.0,0.05,0.06808333333333333,0.0635574494188386,0.043406560465912986,0.08122021579139525,5000,claim_source_component,False
oracle,0.1,1.0,0.1,0.06283333333333334,0.05857845396762123,0.03864446529080676,0.07627427129932896,5000,claim_source_component,False
oracle,0.1,1.0,0.2,0.05233333333333333,0.048620463065186484,0.028680489186223495,0.0663044210711356,5000,claim_source_component,False
oracle,0.1,1.0,0.5,0.020833333333333332,0.018746490357882242,-0.0008068834033055215,0.0366986792044688,5000,claim_source_component,False
oracle,0.2,0.6,0.01,0.04305,0.04318031438256735,0.02793410249762337,0.06058737426910761,5000,claim_source_component,False
oracle,0.2,0.6,0.05,0.03525,0.03610033620842984,0.02145525451559934,0.053425328409323236,5000,claim_source_component,False
