seed,fold,task,model,count,accuracy,macro_f1,irrelevant_precision,irrelevant_recall,irrelevant_f1,irrelevant_support,partial_precision,partial_recall,partial_f1,partial_support,relevant_precision,relevant_recall,relevant_f1,relevant_support,non_actionable_precision,non_actionable_recall,non_actionable_f1,non_actionable_support,actionable_precision,actionable_recall,actionable_f1,actionable_support
11,1,path_relevance,majority_baseline,101,0.5445544554455446,0.23504273504273507,0.0,0.0,0.0,45,0.5445544554455446,1.0,0.7051282051282052,55,0.0,0.0,0.0,1,,,,,,,,
11,1,path_relevance,rule_baseline,101,0.48514851485148514,0.2222222222222222,0.0,0.0,0.0,45,0.532608695652174,0.8909090909090909,0.6666666666666666,55,0.0,0.0,0.0,1,,,,,,,,
11,1,path_relevance,logistic_regression,101,0.693069306930693,0.5983965719814776,0.639344262295082,0.8666666666666667,0.7358490566037735,45,0.8333333333333334,0.5454545454545454,0.6593406593406593,55,0.25,1.0,0.4,1,,,,,,,,
11,1,path_relevance,random_forest,101,0.7029702970297029,0.6904424181019926,0.6333333333333333,0.8444444444444444,0.7238095238095238,45,0.8205128205128205,0.5818181818181818,0.6808510638297872,55,0.5,1.0,0.6666666666666666,1,,,,,,,,
11,1,actionability,majority_baseline,101,0.8811881188118812,0.46842105263157896,,,,,,,,,,,,,0.8811881188118812,1.0,0.9368421052631579,89,0.0,0.0,0.0,12
11,1,actionability,rule_baseline,101,0.8316831683168316,0.5482767692712445,,,,,,,,,,,,,0.8913043478260869,0.9213483146067416,0.9060773480662984,89,0.2222222222222222,0.16666666666666666,0.19047619047619047,12
11,1,actionability,logistic_regression,101,0.8613861386138614,0.725968992248062,,,,,,,,,,,,,0.9518072289156626,0.8876404494382022,0.9186046511627907,89,0.4444444444444444,0.6666666666666666,0.5333333333333333,12
11,1,actionability,random_forest,101,0.8910891089108911,0.6467408585055644,,,,,,,,,,,,,0.90625,0.9775280898876404,0.9405405405405406,89,0.6,0.25,0.35294117647058826,12
11,2,path_relevance,majority_baseline,88,0.5227272727272727,0.2288557213930348,0.0,0.0,0.0,41,0.5227272727272727,1.0,0.6865671641791045,46,0.0,0.0,0.0,1,,,,,,,,
11,2,path_relevance,rule_baseline,88,0.5227272727272727,0.2288557213930348,0.0,0.0,0.0,41,0.5227272727272727,1.0,0.6865671641791045,46,0.0,0.0,0.0,1,,,,,,,,
11,2,path_relevance,logistic_regression,88,0.6022727272727273,0.3995052566481137,0.5614035087719298,0.7804878048780488,0.6530612244897959,41,0.6774193548387096,0.45652173913043476,0.5454545454545454,46,0.0,0.0,0.0,1,,,,,,,,
11,2,path_relevance,random_forest,88,0.5340909090909091,0.34873310054615453,0.5081967213114754,0.7560975609756098,0.6078431372549019,41,0.5925925925925926,0.34782608695652173,0.4383561643835616,46,0.0,0.0,0.0,1,,,,,,,,
11,2,actionability,majority_baseline,88,0.875,0.4666666666666667,,,,,,,,,,,,,0.875,1.0,0.9333333333333333,77,0.0,0.0,0.0,11
11,2,actionability,rule_baseline,88,0.875,0.4666666666666667,,,,,,,,,,,,,0.875,1.0,0.9333333333333333,77,0.0,0.0,0.0,11
11,2,actionability,logistic_regression,88,0.8409090909090909,0.6051282051282051,,,,,,,,,,,,,0.8987341772151899,0.922077922077922,0.9102564102564102,77,0.3333333333333333,0.2727272727272727,0.3,11
11,2,actionability,random_forest,88,0.9090909090909091,0.725,,,,,,,,,,,,,0.9156626506024096,0.987012987012987,0.95,77,0.8,0.36363636363636365,0.5,11
11,3,path_relevance,majority_baseline,89,0.3707865168539326,0.18032786885245902,0.0,0.0,0.0,52,0.3707865168539326,1.0,0.5409836065573771,33,0.0,0.0,0.0,4,,,,,,,,
11,3,path_relevance,rule_baseline,89,0.3707865168539326,0.18032786885245902,0.0,0.0,0.0,52,0.3707865168539326,1.0,0.5409836065573771,33,0.0,0.0,0.0,4,,,,,,,,
11,3,path_relevance,logistic_regression,89,0.6966292134831461,0.5423138191955396,0.7678571428571429,0.8269230769230769,0.7962962962962963,52,0.6206896551724138,0.5454545454545454,0.5806451612903226,33,0.25,0.25,0.25,4,,,,,,,,
11,3,path_relevance,random_forest,89,0.7415730337078652,0.6666517390655321,0.734375,0.9038461538461539,0.8103448275862069,52,0.7727272727272727,0.5151515151515151,0.6181818181818182,33,0.6666666666666666,0.5,0.5714285714285714,4,,,,,,,,
11,3,actionability,majority_baseline,89,0.8651685393258427,0.463855421686747,,,,,,,,,,,,,0.8651685393258427,1.0,0.927710843373494,77,0.0,0.0,0.0,12
11,3,actionability,rule_baseline,89,0.8651685393258427,0.463855421686747,,,,,,,,,,,,,0.8651685393258427,1.0,0.927710843373494,77,0.0,0.0,0.0,12
11,3,actionability,logistic_regression,89,0.9101123595505618,0.819838056680162,,,,,,,,,,,,,0.96,0.935064935064935,0.9473684210526315,77,0.6428571428571429,0.75,0.6923076923076923,12
11,3,actionability,random_forest,89,0.9101123595505618,0.7746835443037974,,,,,,,,,,,,,0.9259259259259259,0.974025974025974,0.9493670886075949,77,0.75,0.5,0.6,12
11,4,path_relevance,majority_baseline,100,0.47,0.21315192743764175,0.0,0.0,0.0,43,0.47,1.0,0.6394557823129252,47,0.0,0.0,0.0,10,,,,,,,,
11,4,path_relevance,rule_baseline,100,0.44,0.29951338199513383,0.0,0.0,0.0,43,0.45555555555555555,0.8723404255319149,0.5985401459854015,47,0.3,0.3,0.3,10,,,,,,,,
11,4,path_relevance,logistic_regression,100,0.7,0.6341254720317616,0.8709677419354839,0.627906976744186,0.7297297297297297,43,0.6785714285714286,0.8085106382978723,0.7378640776699029,47,0.38461538461538464,0.5,0.43478260869565216,10,,,,,,,,
11,4,path_relevance,random_forest,100,0.68,0.6583333333333333,0.7297297297297297,0.627906976744186,0.675,43,0.660377358490566,0.7446808510638298,0.7,47,0.6,0.6,0.6,10,,,,,,,,
11,4,actionability,majority_baseline,100,0.71,0.4152046783625731,,,,,,,,,,,,,0.71,1.0,0.8304093567251462,71,0.0,0.0,0.0,29
11,4,actionability,rule_baseline,100,0.73,0.5699952221691352,,,,,,,,,,,,,0.7444444444444445,0.9436619718309859,0.8322981366459627,71,0.6,0.20689655172413793,0.3076923076923077,29
11,4,actionability,logistic_regression,100,0.74,0.6904761904761905,,,,,,,,,,,,,0.8260869565217391,0.8028169014084507,0.8142857142857143,71,0.5483870967741935,0.5862068965517241,0.5666666666666667,29
11,4,actionability,random_forest,100,0.83,0.7481854540068138,,,,,,,,,,,,,0.813953488372093,0.9859154929577465,0.89171974522293,71,0.9285714285714286,0.4482758620689655,0.6046511627906976,29
11,5,path_relevance,majority_baseline,96,0.5208333333333334,0.228310502283105,0.0,0.0,0.0,38,0.5208333333333334,1.0,0.684931506849315,50,0.0,0.0,0.0,8,,,,,,,,
11,5,path_relevance,rule_baseline,96,0.46875,0.3615503875968992,0.0,0.0,0.0,38,0.4936708860759494,0.78,0.6046511627906976,50,0.35294117647058826,0.75,0.48,8,,,,,,,,
11,5,path_relevance,logistic_regression,96,0.5520833333333334,0.5138668589281422,0.5428571428571428,0.5,0.5205479452054794,38,0.6,0.6,0.6,50,0.36363636363636365,0.5,0.42105263157894735,8,,,,,,,,
11,5,path_relevance,random_forest,96,0.625,0.6101916376306621,0.5909090909090909,0.6842105263157895,0.6341463414634146,38,0.6521739130434783,0.6,0.625,50,0.6666666666666666,0.5,0.5714285714285714,8,,,,,,,,
