scope,value,claims,mention_tp,mention_fp,mention_fn,predicted_links,incorrect_links,correct_links,resolved_gold,resolved_detected,resolved_exact,mention_precision,mention_recall,mention_f1,human_judged_link_accuracy,strict_id_accuracy_detected_resolved,end_to_end_resolved_concept_recall,mention_precision_ci_low,mention_precision_ci_high,mention_recall_ci_low,mention_recall_ci_high,mention_f1_ci_low,mention_f1_ci_high,human_judged_link_accuracy_ci_low,human_judged_link_accuracy_ci_high,strict_id_accuracy_detected_resolved_ci_low,strict_id_accuracy_detected_resolved_ci_high,end_to_end_resolved_concept_recall_ci_low,end_to_end_resolved_concept_recall_ci_high
dataset,healthver,30,24,2,39,44,14,30,51,24,22,0.9230769230769231,0.38095238095238093,0.5393258426966292,0.6818181818181818,0.9166666666666666,0.43137254901960786,0.7777777777777778,1.0,0.22727272727272727,0.5189873417721519,0.35443037974683544,0.6788990825688074,0.52,0.8222222222222222,0.7894736842105263,1.0,0.24489795918367346,0.6
dataset,medaesqa,30,9,23,69,44,33,11,12,8,8,0.28125,0.11538461538461539,0.16363636363636364,0.25,1.0,0.6666666666666666,0.1211818181818182,0.45,0.045454545454545456,0.19278135268346097,0.06611116156570702,0.2560102564102563,0.0985857769568229,0.4444444444444444,1.0,1.0,0.3333333333333333,0.9230769230769231
dataset,pubmedqa,30,9,18,47,38,26,12,12,9,9,0.3333333333333333,0.16071428571428573,0.21686746987951808,0.3157894736842105,1.0,0.75,0.13886494252873563,0.55,0.0545211038961039,0.2857142857142857,0.0821917808219178,0.3636363636363636,0.11357323232323234,0.5500431034482753,1.0,1.0,0.38461538461538464,1.0
dataset,scifact,30,12,12,56,34,16,18,16,11,11,0.5,0.17647058823529413,0.2608695652173913,0.5294117647058824,1.0,0.6875,0.2857142857142857,0.7600476190476184,0.08823529411764706,0.28169014084507044,0.13859679071355413,0.3925787014264626,0.2727272727272727,0.7777777777777778,1.0,1.0,0.42857142857142855,0.9001190476190459
